,descricao
226,"O 6° Lugar de quarentena é sobre a Juventude periférica e os obstáculos do EAD.  Nesse bate papo chamamos Lelo, educador em um cursinho popular, Beatriz Klein universitária e Vitoria Pereira vice-presidente da UMES (União Municipal dos Estudantes Secundaristas de SP)  O ArquePerifa entende que uma narrativa não dá conta de cobrir a diversidade de experiências existentes e disso nasce o Lugar de Quarentena. Lembramos que as opiniões expressas pelos convidados não necessariamente refletem as opiniões e posicionamentos do coletivo. "
227,"O 5° Lugar de quarentena é A pandemia é diferente da ponte pra cá  Nesse bate papo chamamos Agostinha, enfermeira e ex coordenadora da UBS Colonia e Raí Camelo, profissional da área administrativa de um hospital particular.  O Arque Perifa entende que uma narrativa não dá conta de cobrir a diversidade de experiências existentes e disso nasce o Lugar de Quarentena. Lembramos que as opiniões expressas pelos convidados não necessariamente refletem as opiniões e posicionamentos do coletivo. "
228,"O 4° Lugar de quarentena é sobre a violência doméstica.  Nesse bate papo chamamos Cris Rosa, moradora do Grajaú, atriz, doula, educadora, entre outras fazeduras e Luciana de Barros moradora do Grajaú e advogada, para entender como a violência domestica se da nesses tempos de pandemia. O Arque Perifa entende que uma narrativa não dá conta de cobrir a diversidade de experiências existentes e disso nasce o Lugar de Quarentena. Lembramos que as opiniões expressas pelos convidados não necessariamente refletem as opiniões e posicionamentos do coletivo. "
229,"O 3° Lugar de quarentena é sobre a Falta de água na quebrada.  Nesse bate papo chamamos Larissa Maria, moradora do barragem que enfrenta a falta de saneamento básico e Léia Almeida, geografa e professora de rede pública para entender como as pessoas que sofrem com a falta de saneamento básico (especificamente falando da falta de água) estão nesses tempos de pandemia.  O Arque Perifa entende que uma narrativa não dá conta de cobrir a diversidade de experiências existentes e disso nasce o Lugar de Quarentena. Lembramos que as opiniões expressas pelos convidados não necessariamente refletem as opiniões e posicionamentos do coletivo. "
230,"O 2° Lugar de quarentena é sobre a Educação a Distância (EAD) voltada ao ensino básico nesse período de pandemia.  Nesse bate papo chamamos pessoas do território que dialogam com essa realidade: Danilo, um professor da rede pública, Adriana(@dricacadri) uma mãe de cinco filhos e Davi, um aluno da rede estadual para nos contar sobre as oportunidades e os desafios do momento.  O Arque Perifa entende que uma narrativa não dá conta de cobrir a diversidade de experiências existentes e disso nasce o Lugar de Quarentena. Lembramos que as opiniões expressas pelos convidados não necessariamente refletem as opiniões e posicionamentos do coletivo. "
231,"No 1° episódio do Lugar de Quarentena nós apresentamos o ArquePerifa e seus integrantes, falamos  sobre como o COVID-19 têm afetado os coletivos periféricos e conversamos com Will Ferreira (@will.sferreira) fundador do espaço kamohelo, prof° de historia, educador social, militante negro anti-racista e LGBT e Micoli Cerqueira (@miiihcerqueira) atriz, designer e articuladora cultural da região de Parelheiros. O ArquePerifa entende que uma narrativa não dá conta de cobrir a diversidade de experiência existentes pra nós e disso nasce o Lugar de quarentena, podcast que visa entender e compartilhar diferentes vivências e impactos do COVID-19 nas periferias. "
232,"Na história, você conhece o Jonas, um garoto de quebrada que, entediado ao assistir a aulas à distância, imagina como é o coronavírus observando a sujeira de sua borracha.  Jonas imagina o Corona como um vilão e, sua irmã, Joana, como a heroína fazendo um corre importante no seu bairro. Ao longo da história, misturam-se os olhares desses dois irmãos que encaram a realidade do cotidiano da periferia diante da pandemia da Covid-19.   Nessa jornada, os irmãos dão-se conta da importância de se prevenirem para cuidar de si e do coletivo. Esse audiolivro surgiu da HQ O Inimigo Invisível criado pelo O Corre coletivo em parceria com o Sesc Interlagos.   As tiragem impressa da HQ será distribuída na zona sul, lar do Sesc Interlagos e d’O Corre - uma HQ em preto e branco toda feita para imaginar, colorir, educar e cada um ser o herói da sua jornada. Já a HQ digital você encontra aqui mesmo, nas nossas redes sociais, onde poderá ler, baixar e se for um coletivo ou organização social sem fins lucrativos, poderá também distribuir. #dica: se já estiver com acesso a Hq O inimigo invisível física ou online, se permita ouvir esse episódio acompanhando as paginas.  O Corre - quem fez o quê: Coordenação  Ana Paula (@anaprarua) é ilustradora, artista visual e arte educadora  Revisão Bianca Martins (@biancamartins_sp) é estudante de psicologia e poeta  Ilustrador  Ciano Buzz (@cianobu) é ilustrador, educador e roteirista  Diagramação Ewerton Silva (@ewerton.silvaj) é estudante de marketing  Ilustrador Lukera Andrade (@lukeraandrade) é biólogo, roteirista e ilustrador  Coordenação Weslley Silva (@wee_lelo) é arte educador, roteirista e ilustrado   Locução informativa  Kaique Santos (kaique_santosz) é jornalista e articulador   Narração  Lucas Andrade (@lukeraandrade)   Dublagem  Ma' Sol (@masolzs) dublou Joana  Ciano Buzz (@cianobu) dublou Jonas  Teresinha André de Andrade dublou Dona Lurdes  Ana Paula (@anaprarua) dublou Professora   Participação especial  @brunarte @barbizinhe @carol_candido.jpg @lua.nacrvlh  Edição, decupagem, mixagem e foley  Weslley Silva (Lelo )           @Wee_Lelo)     "
233,"Neste episodio de retomada Anap, Bianca Martins, Lelo e Lucas Andrade (Lukera) fizeram essa conversa despautada pra falar sobre alguns processos, e principalmente sobre os hobbies que a gente ama fazer e das atividades que a gente não gosta tanto, mas precisa pra sobreviver.   Arte da vitrine: Lelo Pós produção: Lelo Som de fundo: TABAL - Dancing Trees  "
234,"Na troca de ideia de hoje, conversamos com a Barbara Alves do Descolonizarte e com o Kaique Vieira do coletivo O Verso sobre o que é ser periférico e marginal e o que são produções artísticas marginais e periféricas, além disso a discussão trouxe o quão importante é a arte feita na periferia estar na periferia e também colocaram o dedo na ferida da cena artística branca e centralizada.  Entre em contato com a gente pelas redes sociais no email ocorrecoletivo@gmail.com no instagram pelo @ocorrecoletivo no twitter com o @ocorrecoletivo  Arte da vitrine: SEJA MARGINAL SEJA HERÓI (1968), DE HÉLIO OITICICA Pauta: Lelo, Barbara Alves e Kaique Vieira Pós produção: Lelo "
235,"Nivaldo Ciriaco é educador físico e preparador de goleiros, atuou no Corinthians, na seleção brasileira e estava atuando no Leste Europeu no Dínamo Minsk e também foi professor do Lelo e Lucas, que hoje também são educadores.  Neste episodio eles se reuniram pra falar sobre a facilidade da periferia em criar astros no futebol.  Entre em contato com a gente pelas redes sociais no email ocorrecoletivo@gmail.com no instagram pelo @ocorrecoletivo no twitter com o @ocorrecoletivo  Arte da vitrine: Manipulação Lelo e fotografia do Lucas Santos   Pauta: Lelo,  Ciriaco e Lucas Santos  "
236,"No episódio de hoje Lelo e Anap, convidaram a  Ma'sol e o André Lessa para falar de amor e em quais dificuldades que um casal encontra no meio do percurso, quais as vitórias, como está sendo amar em tempos de isolamento e como é estar em um relacionamento aberto.  Ahhh, tem surpresa nesse podcast, viu?  Recebemos declarações de algumas pessoas e soltamos por aqui!   Corre aqui pra ouvir! Entre em contato com a gente pelas redes sociais no email ocorrecoletivo@gmail.com no instagram pelo @ocorrecoletivo no twitter com o @ocorrecoletivo Arte da vitrine: André Lessa Pauta: Lelo e Anap   "
237,"Neste episódio, Lelo, Anap e Cauã Bertoldo, trarão algumas vivências no grafite.  De forma descontraída, eles falam sobre como um grafiteire está exposto e sujeito a diversas situações quando se está produzindo arte na rua.  Será que a Ana conseguiu escapar de apanhar de uma mulher de 40 anos de idade?   Corre aqui pra ouvir!  Entre em contato com a gente pelas redes sociais no email ocorrecoletivo@gmail.com no instagram pelo @ocorrecoletivo no twitter com o @ocorrecoletivo  Edição e arte da vitrine: Weslley Silva (Lelo) Pauta: Lelo, Anap e Cauã Bertoldo Som de background: é um sample produzido pelo Lelo encima do som do MC Papo - Eu Pixava Sim "
238,"Neste episódio, Lelo , Bianca Martins, Ernure Rodrigues trocam uma ideia introdutória sobre saúde mental e o período de isolamento pensando os impactos coletivos e individuais desse momento atípico de nossas vivências. Discute-se os impactos psicológicos que são observados durante o período da quarentena, o cuidado a saúde mental junto ao isolamento e a periferia, as diferenças em relação ao acesso à saúde e possíveis dicas para o isolamento social ser menos doloroso a partir do que se vê nas diferentes realidades dos apresentadores.  Junto a isso, no site do O Corre Coletivo foi montado uma lista com Serviços de apoio no período de isolamento social   clicando aqui você tem acesso a ela   https://bityli.com/c9bKG  Entre em contato com a gente pelas redes sociais no email ocorrecoletivo@gmail.com no instagram pelo @ocorrecoletivo no twitter com o @ocorrecoletivo   Confira as campanhas que estão rolando na benfeitoria ajude na  campanha da Auri Verde a apoiar 400 famílias do Grajaú com recursos para compra de alimentos e produtos de higiene por 3 meses  Edição e arte da vitrine: Weslley Silva (Lelo) Pauta: Bianca Martins, Ernure Rodrigues e Weslley Silva (Lelo) Som de background: Just Close Your Eyes  "
239,"Neste episódio, Lelo e Lukas Andrade estão na escuta de depoimentos de diversas pessoas que relatam a situação do COVID-19 em suas respectivas quebradas.  A ideia é entender como a periferia está reagindo em meio a essa pandemia e como ela está contra atacando.  Os hosts desse episodio foram o Weslley Silva (Lelo) e o querido Lucas Andrade (Lukera)  Convidados e colaboradores desse episodio  Rick Henrique de BH com representando o Coletivo Brainsairec o Jairo Periafricania   um dos fundadores da Cooperifa  e que somou com essa vinheta incrível que tá rodando os grupos de whatsapp O Lucas Veloso um dos fundadores da Agência Mural O André Lessa que é um dos fundadores do Coliseu   Fuvia mesquita que representa a Favela São Remo  Adriane Fernandes (Drika) representando Rap Resistência Viva  Henrique Madeiros representando    Entre em contato com a gente pelas redes sociais  no email ocorrecoletivo@gmail.com no instagram pelo @ocorrecoletivo  no twitter com o @ocorrecoletivo  Confira as campanhas que estão rolando na benfeitoria  ajude na  campanha da Auri Verde a apoiar 400 famílias do Grajaú com recursos para compra de alimentos e produtos de higiene por 3 meses   ajude campanha da Aloha Marmitas para a distribuição de 2.400 marmitas na região do Grajaú  e a rifa de uma fotografia do coletivo DiCampana  que com o dinheiro arrecadado irão destinar para compra de cestas básicas e produtos de higiene   Edição e arte da vitrine: Weslley Silva (Lelo)  Pauta: Lucas Andrade (Lukera) e Weslley Silva (Lelo) Som de background: Luiz Semblantes - Floresça  "
240,"Ninguém gosta de se sentir passado para trás, muito menos enganado ou menos esperto. nesse episodio a gente lembrou de historias onde fomos levemente tapeados, cê já foi tapeado? então manda pra gente tua historia pra entrar aqui também   manda tua historia aqui  https://anchor.fm/ocorrecoletivo/message  siga nas redes sociais   @ocorrecoletivo @anaprarua @wee_lelo "
241,"Aqui cê vai conhecer quem é que tá na frente desse corre, um papo bem breve pra vocês ficarem cientes das correrias que vão rolar daqui pra frente.  sigam nas redes sociais  @anaprarua @ocorrecoletivo @wee_lelo "
242,"São Paulo, 21 de outubro de 2020. Localizado na zona noroeste de São Paulo, Pirituba é um distrito que abriga mais de 167 mil moradores. A gente foi até lá conversar com alguns deles e entender o que anda pegando na região. Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Ira Romão/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
243,"São Paulo, 20 de outubro  de 2020. O plano de metas é uma ferramenta de transparência muito importante, adotada em algumas cidades. Entenda como ele funciona e também se o atual prefeito de São Paulo já cumpriu todas as metas prometidas! Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Léu Britto #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
244,"São Paulo, 19 de outubro de 2020. Fomos até Pirituba, na zona noroeste de São Paulo, conversar com uma dona de salão de beleza que está tomando todos os cuidados possíveis para manter seu negócio com segurança. ??? Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Ira Romão #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
245,"São Paulo, 16 de outubro de 2020.   Hoje o rolê tem duas indicações para você: o artista Renan Samam, da zona sul de SP, que acaba de lançar músicas,  e o portal Visibilidade Indígena, que reúne dezenas de produções indígenas para ver no fim de semana.   Saiba mais em agenciamural.org.br/em-quarentena   O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Divulgação   #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast   "
246,"São Paulo, 15 de outubro de 2020. Fomos até a capital do estado de Goiás bater um papo com Victor Hugo Silva. Ele, seus vizinhos e amigos realizam ações de incentivo à solidariedade entre moradores e trabalhadores na pandemia. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos.  Foto de capa: Victor Hugo Silva #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast  "
247,"São Paulo, 14 de outubro de 2020. Hoje vamos até a zona oeste de São Paulo conversar com moradoras das periferias da subprefeitura do Butantã, local com muitos contrastes sociais. Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Luanna Romão #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
248,"São Paulo, 13 de outubro  de 2020. Fazer uma campanha custa caro. Precisa pagar equipe, produzir material e muito mais! Mas você já parou para pensar o valor máximo que um candidato pode gastar?! Vem entender como funciona essa regra!  Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos.  Foto de capa: Banco de Imagens Freepik #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast  "
249,"São Paulo, 9 de outubro de 2020. A galera do coletivo Corre, no Grajaú, zona sul de São Paulo, produziu uma história em quadrinho chamada O Inimigo Invisível, sobre irmãos que tentam vencer o coronavírus. Vem com gente conhecer essa HQ e baixar o livro. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos.  Foto de capa: Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast  "
250,"São Paulo, 08 de outubro de 2020. hoje o papo é vacina! Chegou até nós uma história de que a Coronavac, a vacina que está sendo testada no Brasil com apoio do Instituto Butantã, pode interferir no material genéticos das pessoas. Vem entender por que o papo é KO! Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Arte de Capa: Pexels #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
251,"São Paulo, 07 de outubro de 2020. Lajeado é um distrito do extremo leste da capital paulista e faz parte da subprefeitura de Guaianases. Fomos até lá bater um papo com os moradores para entender quais são as principais reivindicações e os pontos positivos. Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos.  Foto de capa: Anderson Meneses #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast  "
252,"São Paulo, 06 de outubro de 2020. Em Barueri, na Grande São Paulo, o prefeito Rubens Furlan pode ser reeleito pela sexta vez. Em uma cidade rica e desigual, o político comanda a região há 37 anos. Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos.  Foto de capa: Ana Beatriz Felicio/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast  "
253,"São Paulo, 05 de outubro de 2020. Hoje vamos até Guaianases, na zona leste, conhecer o trabalho do artista PH Silva. Ele fez um filme independente sozinho em casa durante o isolamento social. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Acervo Pessoal #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
254,"São Paulo, 2 de outubro de 2020. Mais uma sexta-feira. E a pergunta é: o que você sabe sobre a cultura negra e indígena? A dica de hoje no rolê serve para você que se interessa pelo assunto e quer aprender mais. Vem com a gente Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
255,"São Paulo, 01 de outubro de 2020. Hoje vamos até Surubim, em Pernambuco, conhecer mais sobre a cidade e o trabalho do universitário Daniel Nascimento, que produz podcasts narrativos sobre a região. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Daniel Nascimento/Acervo Pessoal #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
256,"São Paulo,  30 de agosto de 2020. São Paulo é uma das cidades mais ricas do Brasil. Porém, extremamente desigual. Hoje comentamos este assunto e vamos falar do quadro “Giro pelas 32”, parceria do 32xSP com a rádio CBN, que trata justamente dessas desigualdades. Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Magno Borges/32xSP. #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
257,"São Paulo, 29 de setembro  de 2020. Apenas 8,4% dos vereadores na Grande São Paulo são mulheres. Fizemos um levantamento que mostrou um verdadeiro “apagão” político de representatividade feminina na cidades da região metropolitana; entenda! Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Ilustração de capa: Magno Borges/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
258,"São Paulo, 28 de setembro de 2020. Mesmo em um ano comum, para os alunos das periferias, estudar para o Enem já é tarefa difícil. Com a pandemia e as aulas a distância, as coisas ficaram ainda mais complicadas. Hoje vamos para o Itaim Paulista, na zona leste de SP, conhecer a Joana, que desenvolveu um método próprio de estudos. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Acervo Pessoal #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
259,"São Paulo, 25 de setembro de 2020. Hoje é dia de rock, bebê. Ops, dia de de Rolê no Sofá. E vamos te indicar três outros podcasts bem legais para você ouvir em casa, indo pro trabalho ou no lazer do fim de semana. Vem com a gente Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
260,"São Paulo, 24 de setembro de 2020. Ouvimos falar que segurar a respiração por mais de 20 segundos serve como uma espécie de “teste gratuito”  de coronavírus. Vem entender melhor por que isso não passa de mentira! Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Arte de Capa: Magno Borges/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
261,"São Paulo,  23 de agosto de 2020. Recentemente as redes sociais da Prefeitura de São Paulo e das 32 subprefeituras saíram do ar, assim como a aba “notícias” no site. Fomos entender o motivo e dar dicas de como se manter informado sobre o que está acontecendo na administração pública da cidade durante esse período eleitoral. Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos.  Foto de capa: Ana Beatriz Felicio/32xSP. #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
262,"São Paulo, 22 de setembro  de 2020. Um levantamento exclusivo feito pela Agência Mural revelou que vereadores de São Paulo priorizaram o envio de verbas para esporte em cultura em seus redutos eleitorais em detrimento à áreas como saúde e turismo. Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Ira Romão #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
263,"São Paulo, 21 de setembro de 2020. Érica Milena da Silva  é professora de uma escola na periferia de Poá, na Grande São Paulo. Assim como muitas mulheres, durante o isolamento social, ela decidiu passar pela transição capital e assumir o cabelo natural. ? Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Érica Milena/Arquivo Pessoal #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
264,"São Paulo, 18 de setembro de 2020. ?Toda sexta-feira, a gente traz para você o Rolê no Sofá. Vamos te contar o que tá rolando de mais legal pra fazer no fim de semana, daí mesmo, do sofá de casa. Hoje a dica é sobre a escritora Carolina Maria de Jesus ? Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
265,"São Paulo, 17 de setembro de 2020. Desembarcamos em Sant'Ana do Livramento,  fronteira do Brasil com o Uruguai, para conversar com a professora Ida Larruscain, que fala das peculiaridades de educar em uma região que fica entre dois países. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Andrea Lemes/Acervo Pessoal #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
266,"São Paulo,  17 de agosto de 2020. Levantamento exclusivo feito pelo 32xSP mostra que ao menos 10 ex-subprefeitos estão concorrendo à disputa eleitoral. Vem entender mais em www.32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Arte de capa: Magno Borges/32xSP. #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
267,"São Paulo, 15 de setembro  de 2020. Alguns moradores das periferias já começaram a receber jornalzinho de vereador em casa e ver adesivos de campanha espalhados pelo bairro. Mas na fase de pré-campanha nem todo tipo de comunicação é permitida. Entenda o que vale ou não até a disputa oficial começar. ? Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Arte de capa: Lucas Veloso #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
268,"São Paulo, 14 de setembro de 2020. A Indira Facho mora na zona leste de São Paulo e teve uma ideia super bacana pra manter o contato com a família na quarentena: um bingo virtual. O jogo tá bombando entre os familiares! Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Pixabay #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
269,"São Paulo, 11 de setembro de 2020. ? Toda sexta-feira, a gente traz para você o Rolê no Sofá. Hoje vamos falar da Felizs, uma feira literária que existe há seis anos na zona sul de São Paulo. O espaço reúne escritores e leitores das periferias para discutir r debater temas importantes e os próprios livros. Esse ano a programação é online para evitar aglomeração. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Léu Britto #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
270,"São Paulo, 10 de setembro de 2020. O Brasil é o país que mais acredita em fake news!  Hoje falamos sobre água morna no combate à covid-19 e mentiras que viajam pelo mundo ?✈️ Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Léu Britto/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
271,"São Paulo,  09 de setembro de 2020. Sapopemba é o distrito mais populoso da zona leste. Infelizmente o local vêm chamando atenção pelo alto número de óbitos por Covid-19. Conversamos com um morador que nos contou o que vem rolando por lá. Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa:  Ira Romão/32xSP #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
272,"São Paulo, 08 de setembro de 2020. Como a administração municipal da sua cidade está se saindo em meio a pandemia no assunto saúde? Entenda quais são as responsabilidades e a importância do prefeito nessa área tão importante. Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Arte de capa: Magno Borges/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
273,"São Paulo, 4 de setembro de 2020. ?Toda sexta-feira, a gente traz para você o Rolê no Sofá. Vamos te contar o que tá rolando de mais legal pra fazer no fim de semana, daí mesmo, do sofá de casa. E hoje a dica é para conhecer artistas incríveis por meio de uma iniciativa na Grande SP. Vamos nessa?! ? Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
274,"São Paulo, 03 de setembro de 2020. Fomos até Volta Grande do Xingu, no Pará no norte do Brasil, bater um papo com a vice-cacique e estudante de medicina Lorena Curuai; Ela nos conta como  o coronavírus afetou a rotina da comunidade Iawá. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Lorena Curuaia/Acervo Pessoal #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
275,"São Paulo,  02 de setembro de 2020. Os conselhos participativos são como olhos da população nas subprefeituras, a ponte entre os moradores e a gestão municipal. Durante a pandemia, a dinâmica das reuniões precisou mudar, o que tem gerado alguns problemas em regiões como Parelheiros, no extremo sul de SP. Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa:  Blog Extremo Sul de SP/Reprodução #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
